Index,PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Group,Passenger,FirstName,LastName,Deck,Number,Side,InGroup
28,0024_01,Europa,TRUE,TRAPPIST-1e,62,FALSE,0,0,,0,0,1,24,1,Penton,Fullided,C,2,S,FALSE
29,0025_01,Earth,FALSE,TRAPPIST-1e,15,FALSE,0,225,0,998,0,0,25,1,Karard,Brookenson,F,6,S,FALSE
30,0026_01,Europa,FALSE,55 Cancri e,34,FALSE,22,6073,0,1438,328,0,26,1,Anyoni,Unconary,C,0,P,FALSE
31,0028_01,Mars,FALSE,TRAPPIST-1e,43,FALSE,1125,0,136,48,0,0,28,1,Ceros,Mare,F,8,P,FALSE
32,0030_01,Earth,FALSE,TRAPPIST-1e,32,FALSE,0,850,81,437,453,0,30,1,Ginia,Morsentley,G,4,S,FALSE
33,0031_01,Mars,FALSE,TRAPPIST-1e,47,FALSE,214,0,1411,0,1229,1,31,1,Coobix,Datie,F,9,P,TRUE
34,0031_02,Mars,FALSE,TRAPPIST-1e,2,FALSE,0,0,0,0,0,1,31,2,Cinets,Datie,F,9,P,TRUE
35,0031_03,Mars,FALSE,TRAPPIST-1e,20,FALSE,,0,1750,990,0,1,31,3,Dontch,Datie,F,9,P,TRUE
36,0034_01,Europa,TRUE,55 Cancri e,28,FALSE,0,0,0,0,0,1,34,1,Ziba,Oingwhedly,D,1,S,FALSE
37,0035_01,Mars,FALSE,55 Cancri e,23,FALSE,784,964,0,951,0,0,35,1,Luse,Butte,D,1,P,FALSE
38,0036_01,Earth,FALSE,55 Cancri e,15,,0,492,48,20,401,0,36,1,Marina,Leodger,F,8,S,FALSE
39,0038_01,Earth,FALSE,55 Cancri e,20,FALSE,554,195,0,2606,0,0,38,1,Loise,Wheelez,F,1,/,FALSE
40,0039_01,Earth,TRUE,55 Cancri e,30,FALSE,0,0,,0,0,0,39,1,Jorgie,Batthewitt,G,1,P,FALSE
41,0041_01,Earth,TRUE,TRAPPIST-1e,17,FALSE,0,0,0,0,0,1,41,1,Margia,Moodsey,G,2,P,FALSE
42,0043_01,Europa,FALSE,TRAPPIST-1e,45,FALSE,0,164,45,2511,855,0,43,1,Ankalik,Cylistrand,B,3,P,FALSE
43,0044_01,Earth,TRUE,TRAPPIST-1e,55,FALSE,0,0,0,0,0,0,44,1,Jodye,Coopelandez,G,3,P,TRUE
44,0044_02,Earth,TRUE,55 Cancri e,4,FALSE,0,0,0,0,0,1,44,2,Kayne,Coopelandez,G,3,P,TRUE
45,0044_03,Earth,TRUE,PSO J318.5-22,21,FALSE,0,0,0,0,0,1,44,3,Cassa,Coopelandez,G,3,P,TRUE
46,0045_01,Mars,FALSE,TRAPPIST-1e,21,FALSE,970,0,180,0,64,0,45,1,Zelowl,Chmad,F,1,/,TRUE
47,0045_02,Mars,TRUE,,19,FALSE,0,0,0,0,0,1,45,2,Mass,Chmad,F,1,/,TRUE
48,0050_01,Earth,FALSE,55 Cancri e,35,FALSE,790,0,0,,0,0,50,1,Sony,Lancis,E,1,S,FALSE
49,0051_01,Earth,FALSE,TRAPPIST-1e,56,FALSE,0,112,0,1379,127,0,51,1,Vivia,Johnshines,E,2,S,FALSE
50,0052_01,Earth,FALSE,TRAPPIST-1e,,FALSE,4,0,2,4683,0,0,52,1,Elaney,Hubbarton,G,6,S,FALSE
51,0053_01,Earth,FALSE,TRAPPIST-1e,25,FALSE,0,0,1938,0,1,1,53,1,Elson,Hickerson,F,1,/,FALSE
52,0056_01,Europa,FALSE,TRAPPIST-1e,2,FALSE,0,0,0,0,0,1,56,1,Okulas,Tractive,A,1,S,TRUE
53,0056_02,Europa,TRUE,TRAPPIST-1e,38,FALSE,0,0,0,0,0,1,56,2,Instab,Tractive,A,1,S,TRUE
54,0056_03,Europa,FALSE,TRAPPIST-1e,27,FALSE,279,605,3374,286,3,1,56,3,Zinoces,Tractive,A,1,S,TRUE
55,0058_01,Earth,TRUE,PSO J318.5-22,36,FALSE,0,0,0,0,0,0,58,1,Warry,Ayalazquez,G,7,S,FALSE
56,0061_01,Earth,FALSE,TRAPPIST-1e,22,FALSE,45,1096,148,1377,1,0,61,1,Shanya,Salez,F,1,/,FALSE
57,0062_01,Earth,FALSE,TRAPPIST-1e,62,FALSE,0,592,0,17,25,0,62,1,Sterry,Greeves,F,1,/,FALSE
58,0064_01,Mars,TRUE,TRAPPIST-1e,15,FALSE,0,0,0,0,0,1,64,1,,,F,1,/,TRUE
59,0064_02,,TRUE,TRAPPIST-1e,33,FALSE,0,0,,0,0,1,64,2,Colatz,Keen,E,3,S,TRUE
60,0066_01,Earth,FALSE,TRAPPIST-1e,62,FALSE,1,153,197,0,460,0,66,1,Diandy,Pecketton,G,6,P,FALSE
61,0067_01,Earth,TRUE,PSO J318.5-22,0,FALSE,0,0,0,0,0,1,67,1,Ninaha,Leeves,G,1,/,TRUE
62,0067_02,Earth,FALSE,TRAPPIST-1e,18,FALSE,1,258,446,0,0,1,67,2,Celine,Leeves,G,1,/,TRUE
63,0067_03,Earth,FALSE,55 Cancri e,21,FALSE,1946,37,0,0,24,0,67,3,Velyne,Leeves,F,1,/,TRUE
64,0068_01,Mars,FALSE,TRAPPIST-1e,,FALSE,793,0,2,253,0,0,68,1,Cinst,Binie,E,4,S,FALSE
65,0069_01,Earth,FALSE,TRAPPIST-1e,42,FALSE,887,0,9,6,0,1,69,1,,,F,1,/,FALSE
66,0070_01,Earth,FALSE,TRAPPIST-1e,19,FALSE,190,0,5,1,726,0,70,1,Meremy,Brighttt,F,1,/,FALSE
67,0071_01,Earth,FALSE,TRAPPIST-1e,17,FALSE,16,2165,0,0,52,0,71,1,Nelly,Dillines,F,1,/,FALSE
68,0072_01,Earth,FALSE,TRAPPIST-1e,14,FALSE,0,1,0,0,1063,0,72,1,Thell,Brantuarez,F,1,/,FALSE
69,0073_01,Mars,FALSE,PSO J318.5-22,37,FALSE,46,83,738,0,12,0,73,1,Gorn,Make,D,3,P,FALSE
70,0074_01,Europa,FALSE,TRAPPIST-1e,42,FALSE,1,8397,0,0,506,1,74,1,Aldibah,Mostedry,C,3,S,FALSE
71,0076_01,Mars,FALSE,TRAPPIST-1e,27,FALSE,147,0,1018,0,0,1,76,1,Conk,Dal,F,1,/,FALSE
72,0077_01,Mars,FALSE,TRAPPIST-1e,28,FALSE,14,0,1295,0,0,1,77,1,Pon,Blité,F,1,/,FALSE
73,0078_01,Europa,FALSE,TRAPPIST-1e,38,FALSE,0,5840,0,321,9654,0,78,1,Spuri,Pokerheed,C,4,S,FALSE
74,0081_01,Earth,TRUE,TRAPPIST-1e,13,FALSE,0,0,0,0,0,0,81,1,Dellie,Vinozarks,G,1,/,FALSE
75,0082_01,Mars,FALSE,TRAPPIST-1e,42,FALSE,7406,0,0,0,0,0,82,1,Totse,Datte,F,1,/,TRUE
76,0082_02,Mars,TRUE,TRAPPIST-1e,2,FALSE,0,0,0,0,0,1,82,2,Eaturs,Datte,F,1,/,TRUE
77,0082_03,Mars,FALSE,TRAPPIST-1e,8,FALSE,0,0,0,0,0,1,82,3,,,F,1,/,TRUE
78,0084_01,Earth,FALSE,TRAPPIST-1e,24,FALSE,688,0,0,0,17,1,84,1,Coren,Coopezmaney,G,1,/,FALSE
79,0085_01,Europa,TRUE,TRAPPIST-1e,40,FALSE,0,0,0,0,0,1,85,1,Furudah,Ellcefulve,C,5,S,FALSE
80,0086_01,Earth,FALSE,TRAPPIST-1e,43,FALSE,211,0,0,638,513,0,86,1,Jodye,Kinson,F,1,/,FALSE
81,0088_01,Mars,TRUE,PSO J318.5-22,45,FALSE,0,0,0,0,0,1,88,1,Stmeal,Sacre,E,5,S,FALSE
82,0090_01,Earth,TRUE,TRAPPIST-1e,35,FALSE,0,0,0,0,0,1,90,1,Heremy,Santry,G,1,/,FALSE
83,0091_01,Earth,TRUE,TRAPPIST-1e,26,FALSE,,0,0,0,0,1,91,1,Deanne,Yorkland,G,1,/,TRUE
84,0091_02,Earth,FALSE,TRAPPIST-1e,27,FALSE,1,697,31,188,0,0,91,2,Tinez,Yorkland,F,2,/,TRUE
85,0092_01,Earth,FALSE,TRAPPIST-1e,19,FALSE,0,0,670,1,34,0,92,1,Gracy,Dunnisey,G,9,P,TRUE
86,0092_02,Earth,TRUE,TRAPPIST-1e,0,FALSE,0,0,,0,0,1,92,2,Stald,Hewson,G,9,P,TRUE
87,0092_03,Earth,TRUE,TRAPPIST-1e,3,FALSE,0,0,0,0,0,1,92,3,Tiney,Hewson,G,9,P,TRUE
88,0097_01,Europa,FALSE,TRAPPIST-1e,54,FALSE,0,1208,0,3,637,0,97,1,Alchium,Fictful,A,2,S,FALSE
89,0098_01,Earth,FALSE,TRAPPIST-1e,26,FALSE,0,856,5,32,0,0,98,1,Doria,Carezquez,G,1,/,TRUE
90,0098_02,Earth,FALSE,TRAPPIST-1e,26,FALSE,0,2811,957,0,87,1,98,2,Leence,Carezquez,G,1,/,TRUE
91,0099_01,Earth,FALSE,PSO J318.5-22,23,FALSE,311,427,526,37,0,0,99,1,Aliey,Leetersoney,F,1,/,TRUE
92,0099_02,Earth,,TRAPPIST-1e,2,FALSE,0,0,0,0,0,1,99,2,Thewis,Connelson,G,1,/,TRUE
93,0101_01,Mars,TRUE,TRAPPIST-1e,31,FALSE,0,0,0,0,0,1,101,1,Book,Trad,,,,FALSE
94,0102_01,Earth,FALSE,TRAPPIST-1e,18,FALSE,0,0,0,830,91,0,102,1,Ritany,Holson,F,2,/,FALSE
95,0103_01,Earth,FALSE,TRAPPIST-1e,24,FALSE,0,,0,0,17,1,103,1,Arlen,Mclainez,F,2,/,TRUE
96,0103_02,Earth,TRUE,55 Cancri e,9,FALSE,0,0,0,0,0,1,103,2,Shaele,Mclainez,G,1,/,TRUE
97,0103_03,Earth,TRUE,TRAPPIST-1e,6,FALSE,0,0,0,0,0,0,103,3,Fanne,Mclainez,G,1,/,TRUE
98,0105_01,Earth,,TRAPPIST-1e,27,FALSE,0,0,570,2,131,0,105,1,Carry,Cleachrand,F,2,/,FALSE
99,0107_01,Mars,FALSE,TRAPPIST-1e,21,FALSE,1743,5,17,0,0,0,107,1,Coobix,Hart,D,2,S,FALSE
100,0108_01,Earth,TRUE,TRAPPIST-1e,23,FALSE,0,0,0,0,0,0,108,1,Natald,Handertiz,G,1,/,TRUE
101,0108_02,Earth,FALSE,TRAPPIST-1e,31,FALSE,562,0,326,0,0,0,108,2,,,G,1,/,TRUE
102,0108_03,Earth,FALSE,TRAPPIST-1e,0,,0,0,0,0,0,1,108,3,Oline,Handertiz,G,1,/,TRUE
103,0110_01,Europa,FALSE,TRAPPIST-1e,32,FALSE,0,410,6,3929,764,0,110,1,Graviph,Aloubtled,,,,TRUE
104,0110_02,Europa,,TRAPPIST-1e,40,FALSE,0,331,0,0,1687,0,110,2,Aldeba,Bootious,B,5,P,TRUE
105,0110_03,Europa,FALSE,TRAPPIST-1e,42,FALSE,2209,11418,0,1868,445,1,110,3,Alaratz,Aloubtled,B,5,P,TRUE
106,0110_04,Europa,TRUE,TRAPPIST-1e,28,FALSE,0,0,0,0,0,1,110,4,Izark,Aloubtled,B,5,P,TRUE
107,0111_01,Europa,TRUE,TRAPPIST-1e,29,FALSE,0,0,0,0,0,1,111,1,Aldera,Supred,E,6,S,FALSE
108,0112_01,Europa,FALSE,55 Cancri e,48,TRUE,0,2537,87,17,13,1,112,1,Moth,Cowtale,B,1,S,FALSE
109,0113_01,Earth,FALSE,TRAPPIST-1e,64,FALSE,0,0,804,0,0,1,113,1,Idary,Carvis,F,2,/,FALSE
110,0114_01,Earth,FALSE,TRAPPIST-1e,27,FALSE,82,157,429,238,1,0,114,1,Maura,Beckerson,G,2,/,FALSE
111,0115_01,Mars,,TRAPPIST-1e,26,FALSE,0,0,0,0,,1,115,1,Rohs,Pead,F,2,/,FALSE
112,0116_01,Europa,FALSE,TRAPPIST-1e,33,FALSE,1,2223,0,12,404,1,116,1,Alhenah,Suptive,D,4,P,FALSE
113,0119_01,,FALSE,TRAPPIST-1e,39,FALSE,0,2344,0,65,6898,0,119,1,Batan,Coning,A,0,P,TRUE
114,0119_02,Europa,TRUE,TRAPPIST-1e,13,FALSE,0,0,0,0,0,1,119,2,Kleeiak,Coning,A,0,P,TRUE
115,0120_01,Mars,TRUE,TRAPPIST-1e,24,FALSE,0,0,0,0,,1,120,1,Bees,Sacre,F,2,/,FALSE
116,0122_01,Earth,FALSE,TRAPPIST-1e,29,FALSE,0,0,0,699,74,0,122,1,Shelle,Hayder,G,2,/,FALSE
117,0123_01,Earth,FALSE,TRAPPIST-1e,18,FALSE,55,597,49,0,1,0,123,1,Iree,Fielson,F,2,/,FALSE
118,0126_01,Mars,TRUE,TRAPPIST-1e,67,FALSE,0,0,0,0,0,1,126,1,Milly,Mish,F,2,/,FALSE
119,0127_01,Mars,FALSE,TRAPPIST-1e,35,FALSE,701,0,296,0,25,0,127,1,Miloss,Mesty,E,7,S,FALSE
120,0128_01,Mars,FALSE,TRAPPIST-1e,61,TRUE,2353,334,9,316,2,0,128,1,Grohs,Fles,D,3,S,TRUE
121,0128_02,Mars,FALSE,TRAPPIST-1e,45,FALSE,2103,6,0,0,0,0,128,2,Barave,Fles,E,8,S,TRUE
122,0129_01,Earth,TRUE,PSO J318.5-22,22,FALSE,0,0,,0,0,1,129,1,Race,Fowles,G,2,/,FALSE
123,0133_01,Mars,TRUE,TRAPPIST-1e,19,FALSE,0,0,0,0,0,1,133,1,Flynx,Blie,F,2,/,TRUE
124,0133_02,Mars,FALSE,TRAPPIST-1e,36,FALSE,2738,0,0,0,0,0,133,2,Egrasp,Blie,D,5,S,TRUE
125,0134_01,Earth,FALSE,TRAPPIST-1e,19,FALSE,0,14,730,0,0,1,134,1,Camina,Harmontry,G,1,/,FALSE
126,0136_01,Earth,FALSE,PSO J318.5-22,47,FALSE,97,418,126,25,55,0,136,1,,,G,2,/,FALSE
127,0138_01,Earth,TRUE,TRAPPIST-1e,13,FALSE,0,0,0,0,0,1,138,1,Fayene,Gambs,G,1,/,TRUE
128,0138_02,Earth,FALSE,,34,FALSE,0,22,0,564,207,0,138,2,Monah,Gambs,E,5,P,TRUE
129,0139_01,Europa,TRUE,55 Cancri e,35,FALSE,0,0,0,0,0,1,139,1,Charda,Myling,C,6,S,FALSE
130,0140_01,Earth,TRUE,TRAPPIST-1e,24,FALSE,0,0,0,0,0,1,140,1,Evaley,Mejiaddox,G,1,/,TRUE
131,0140_02,Earth,FALSE,TRAPPIST-1e,26,FALSE,440,0,0,0,462,0,140,2,Verney,Whitakers,F,2,/,TRUE
132,0141_01,Mars,FALSE,TRAPPIST-1e,31,FALSE,,0,97,0,0,0,141,1,Pyrohs,Harte,F,3,/,FALSE
133,0144_01,Earth,FALSE,TRAPPIST-1e,20,FALSE,0,420,210,0,0,1,144,1,Guadae,Dayers,F,3,/,FALSE
134,0146_01,Earth,FALSE,TRAPPIST-1e,56,FALSE,0,0,0,0,0,0,146,1,Verly,Wolferguson,G,2,/,FALSE
135,0147_01,Earth,TRUE,TRAPPIST-1e,50,FALSE,0,0,0,0,0,1,147,1,Samie,Hubbarrison,G,2,/,FALSE
136,0148_01,Mars,FALSE,TRAPPIST-1e,42,FALSE,1072,0,10,0,76,0,148,1,Corsh,Pashe,F,3,/,FALSE
137,0149_01,Earth,TRUE,55 Cancri e,,FALSE,0,0,0,0,0,1,149,1,Billya,Hubbarrison,G,2,/,FALSE
138,0151_01,Earth,TRUE,55 Cancri e,38,FALSE,0,0,0,0,0,0,151,1,Shanie,Simson,G,2,/,FALSE
139,0152_01,Earth,FALSE,,41,FALSE,0,0,0,0,607,0,152,1,Andan,Estron,F,3,/,FALSE
140,0160_01,Earth,FALSE,TRAPPIST-1e,22,FALSE,4119,0,0,0,61,0,160,1,Gory,Atkinney,G,2,/,FALSE
141,0163_01,Europa,TRUE,TRAPPIST-1e,26,FALSE,0,0,0,0,0,1,163,1,Kabiton,Hetforhaft,B,8,P,TRUE
142,0163_02,Europa,TRUE,TRAPPIST-1e,17,FALSE,0,0,0,0,0,1,163,2,Scharab,Hetforhaft,B,8,P,TRUE
143,0164_01,Earth,FALSE,TRAPPIST-1e,57,FALSE,50,1688,0,,135,1,164,1,Fany,Hutchinton,G,2,/,TRUE
144,0164_02,Earth,TRUE,PSO J318.5-22,17,FALSE,0,0,0,0,0,0,164,2,Ianya,Hutchinton,G,2,/,TRUE
145,0165_01,Mars,TRUE,TRAPPIST-1e,35,,0,0,0,0,0,1,165,1,Graven,Anche,F,3,/,FALSE
146,0167_01,Mars,TRUE,TRAPPIST-1e,13,FALSE,0,0,0,0,0,1,167,1,Miten,Floaf,F,3,/,TRUE
147,0167_02,Mars,FALSE,TRAPPIST-1e,27,FALSE,1365,0,48,22,137,0,167,2,Rios,Floaf,F,3,/,TRUE
148,0169_01,Earth,TRUE,TRAPPIST-1e,31,FALSE,0,0,0,0,0,0,169,1,Wandy,Fisherry,G,2,/,FALSE
149,0170_01,Earth,FALSE,TRAPPIST-1e,24,FALSE,0,0,0,221,567,0,170,1,Mollie,Mcmahoney,E,1,/,FALSE
150,0171_01,Earth,TRUE,PSO J318.5-22,19,FALSE,0,0,0,0,0,1,171,1,Coracy,Gordanieves,G,3,/,FALSE
151,0172_01,Earth,TRUE,TRAPPIST-1e,32,FALSE,0,0,0,0,0,1,172,1,Hanna,Johnshines,G,2,/,FALSE
152,0173_01,Earth,,TRAPPIST-1e,58,FALSE,0,985,0,5,0,1,173,1,Hilip,Grifford,E,1,/,FALSE
153,0174_01,Earth,FALSE,55 Cancri e,21,FALSE,287,0,16,115,175,0,174,1,Doryn,Lambles,F,3,/,FALSE
154,0177_01,Europa,FALSE,TRAPPIST-1e,38,FALSE,0,10346,1,14970,2111,0,177,1,Toperon,Iniouser,B,2,S,FALSE
155,0178_01,Mars,FALSE,TRAPPIST-1e,38,FALSE,3414,0,161,28,119,0,178,1,Wees,Knik,D,6,S,FALSE
156,0179_01,Earth,FALSE,TRAPPIST-1e,19,FALSE,1,219,673,2,11,1,179,1,Elaney,Webstephrey,G,2,/,TRUE
157,0179_02,Earth,FALSE,TRAPPIST-1e,0,FALSE,0,0,0,0,0,0,179,2,Raque,Webstephrey,G,2,/,TRUE
158,0179_03,Earth,FALSE,TRAPPIST-1e,3,FALSE,0,0,0,0,0,1,179,3,Sallyl,Webstephrey,G,2,/,TRUE
159,0181_01,Earth,FALSE,TRAPPIST-1e,20,FALSE,0,0,3,299,92,0,181,1,Nancis,Brighttt,G,2,/,FALSE
160,0182_01,Europa,TRUE,TRAPPIST-1e,24,FALSE,0,0,0,0,0,1,182,1,Ksorab,Disight,C,3,P,FALSE
161,0183_01,Earth,FALSE,TRAPPIST-1e,37,FALSE,17,146,426,0,232,1,183,1,Stany,Weaves,F,3,/,FALSE
162,0186_01,Earth,FALSE,TRAPPIST-1e,25,FALSE,62,0,0,0,956,0,186,1,Camiet,Shephendry,G,2,/,FALSE
163,0188_01,Earth,TRUE,TRAPPIST-1e,56,FALSE,0,0,0,0,0,1,188,1,Branda,Romez,G,3,/,FALSE
164,0189_01,Earth,FALSE,55 Cancri e,49,FALSE,84,3,401,202,98,0,189,1,Helly,Booters,E,8,P,FALSE
165,0190_01,Earth,TRUE,55 Cancri e,11,FALSE,0,0,0,0,0,0,190,1,,,G,3,/,FALSE
166,0192_01,Earth,TRUE,TRAPPIST-1e,1,FALSE,0,0,0,0,0,1,192,1,Tance,Adavisons,G,2,/,TRUE
167,0192_02,Earth,FALSE,TRAPPIST-1e,8,FALSE,0,0,0,0,0,0,192,2,Robyny,Adavisons,G,2,/,TRUE
168,0192_03,Earth,FALSE,TRAPPIST-1e,39,FALSE,0,0,10,898,0,0,192,3,Lilace,Adavisons,G,2,/,TRUE
169,0193_01,Mars,TRUE,TRAPPIST-1e,2,FALSE,0,0,0,0,0,1,193,1,Sps,Raf,F,4,/,TRUE
170,0193_02,Mars,FALSE,TRAPPIST-1e,23,FALSE,,0,8,1072,0,0,193,2,Frook,Raf,F,4,/,TRUE
171,0193_03,Mars,FALSE,TRAPPIST-1e,0,FALSE,0,0,0,0,0,1,193,3,Goles,Raf,F,4,/,TRUE
172,0195_01,Mars,FALSE,TRAPPIST-1e,39,FALSE,406,0,867,0,0,1,195,1,Bar,Floaf,F,4,/,FALSE
173,0196_01,Mars,FALSE,PSO J318.5-22,25,FALSE,1052,0,719,0,7,0,196,1,Caper,Emead,D,5,P,FALSE
174,0197_01,Europa,FALSE,TRAPPIST-1e,36,FALSE,0,972,0,795,575,0,197,1,Astrak,Dissper,C,5,P,FALSE
175,0198_01,Earth,,PSO J318.5-22,52,FALSE,0,0,0,0,0,1,198,1,Jeroy,Cookson,G,3,/,FALSE
176,0199_01,Earth,TRUE,TRAPPIST-1e,18,FALSE,0,0,0,0,0,0,199,1,Regana,Morrows,G,3,/,FALSE
177,0200_01,Earth,TRUE,TRAPPIST-1e,15,FALSE,0,0,0,0,0,1,200,1,Elia,Colomonson,G,3,/,FALSE
178,0201_01,Europa,TRUE,TRAPPIST-1e,35,FALSE,0,0,0,0,0,1,201,1,Kaffias,Bacistion,B,3,S,TRUE
179,0201_02,Europa,TRUE,TRAPPIST-1e,47,FALSE,0,0,0,0,0,1,201,2,Edaruma,Bacistion,B,3,S,TRUE
180,0202_01,Europa,TRUE,55 Cancri e,45,FALSE,0,0,0,0,0,1,202,1,Pomera,Embleng,B,9,P,TRUE
181,0202_02,Europa,FALSE,55 Cancri e,,FALSE,0,2433,,878,443,1,202,2,Vegas,Embleng,A,2,P,TRUE
182,0203_01,Europa,TRUE,TRAPPIST-1e,51,FALSE,0,0,0,0,0,1,203,1,Ancham,Heateele,C,8,S,FALSE
183,0205_01,Earth,FALSE,TRAPPIST-1e,29,FALSE,0,2,66,0,705,0,205,1,Carma,Oneiles,G,3,/,FALSE
184,0206_01,Europa,FALSE,55 Cancri e,,FALSE,2,1720,12,1125,122,1,206,1,Nuson,Brugashed,C,9,S,FALSE
185,0207_01,Earth,TRUE,PSO J318.5-22,19,FALSE,0,0,0,0,0,0,207,1,Thony,Mcfaddennon,G,3,/,FALSE
186,0210_01,,TRUE,55 Cancri e,24,FALSE,0,0,,0,0,1,210,1,Arraid,Inicont,D,6,P,FALSE
187,0211_01,Mars,FALSE,TRAPPIST-1e,29,FALSE,902,1,137,0,0,1,211,1,Pebuts,Appie,F,4,/,TRUE
188,0211_02,Mars,TRUE,TRAPPIST-1e,11,FALSE,0,0,0,0,0,1,211,2,Corsh,Appie,F,4,/,TRUE
189,0211_03,Mars,FALSE,TRAPPIST-1e,17,FALSE,848,0,307,182,0,0,211,3,Picers,Date,F,4,/,TRUE
190,0212_01,Earth,FALSE,TRAPPIST-1e,13,FALSE,192,0,0,51,739,0,212,1,Inen,Workmans,E,9,P,TRUE
191,0212_02,Earth,FALSE,TRAPPIST-1e,35,FALSE,147,188,0,10,387,0,212,2,Shally,Workmans,F,4,/,TRUE
192,0213_01,Earth,FALSE,TRAPPIST-1e,21,FALSE,367,281,0,0,146,0,213,1,Carita,Navages,F,4,/,FALSE
193,0216_01,Earth,FALSE,55 Cancri e,21,FALSE,0,56,0,0,1918,0,216,1,Searla,Garnes,F,4,/,FALSE
194,0217_01,Earth,FALSE,TRAPPIST-1e,38,FALSE,1517,0,0,27,0,0,217,1,Prilly,Shieldson,F,4,/,FALSE
195,0219_01,Earth,TRUE,TRAPPIST-1e,19,FALSE,0,0,0,0,0,1,219,1,Nica,River,G,3,/,FALSE
